lon,lat,name,type,open,sites,elev,amenities,state
-110.908,34.306,Rim,NF,mid may-mid sep,26,7575,NH DP 32ft VT DW NS NR ,AZ
-114.141,34.254,River Island  - Buckskin State Park,SP,all year,37, ,E DP DW SH RS ,AZ
-111.647,33.810,Riverside,NF, ,12,1604,NH ND VT NW NS NR L$ ,AZ
-109.481,32.883,Riverview,BLM, ,13,3136,NH ND VT DW NS NR ,AZ
-111.219,34.563,Rock Crossing,NF,mid may-mid sep,36,7352,NH ND 32ft VT DW NS NR L$ ,AZ
-109.454,34.034,Rolfe C. Hoyer,NF,mid may-mid sep,91,8337,NH DP 32ft FT DW SH NR ,AZ
-109.710,32.759,Roper Lake State Park,SP,all year,65,3123,E DP 45ft FT DW SH RS ,AZ
-110.704,32.393,Rose Canyon,NF,mid apr-mid oct,74,7067,NH ND 22ft VT DW NS RS PA L$ ,AZ
-110.979,33.830,Rose Creek,NF,mid may-mid oct,5,5495,NH ND 16ft VT DW NS NR N$ ,AZ
-109.303,31.784,Rucker Forest Camp,NF, ,14,6175,NH DP VT NW NS NR L$ ,AZ
-109.310,31.780,Rucker Lake,NF, ,8,6142,VT NW NR ,AZ
-109.279,31.905,Rustler Park,NF,mid apr-mid nov,25,8488,NH ND 22ft VT DW NS NR L$ ,AZ
-110.988,0.000,Sawmill Flats,NF,mid may-mid oct,5,5902,NH ND VT NS NR N$ ,AZ
-111.013,33.648,Schoolhouse,NF, ,211,2182,NH DP 32ft DW SH NR L$ ,AZ
-109.960,34.176,Scott Reservoir,NF, ,15,6716,NH ND VT NW NS NR N$ ,AZ
-111.283,34.356,Second Crossing,NF, ,10,5108,NR ,AZ
-111.863,33.966,Seven Springs,NF, ,23,3363,NH ND 16ft VT DW NS NR L$ ,AZ
-109.858,32.657,Shannon,NF,mid apr-mid nov,11,9085,NH ND 16ft VT NW NS NR L$ ,AZ
-110.996,34.307,Sharp Creek,NF,early apr-late oct,28,6040,NH ND 45ft VT DW NS RS PA ,AZ
-110.007,34.195,Show Low Lake,CP, ,71,6585,E DP 35ft VT DW SH ,AZ
-109.733,34.063,Shush Be Tou,RES, ,20,7864,VT DW ,AZ
-109.724,34.056,Shush Bezahze,RES, ,6,7976,VT DW ,AZ
-110.886,34.306,Sinkhole,NF,mid may-mid oct,26,7579,NH DP 32ft VT DW NS NR ,AZ
-109.920,32.699,Soldier Creek,NF,mid apr-mid nov,12,9373,NH ND 22ft FT NW NS NR L$ ,AZ
-110.740,32.417,Spencer Canyon,NF,mid apr-mid oct,60,7897,NH ND 22ft VT DW NS NR L$ ,AZ
-110.936,34.332,Spillway,NF,mid may-mid nov,26,7575,NH DP 16ft VT DW NS RS PA ,AZ
-114.474,32.902,Squaw Lake,BLM, ,125, ,NH DP FT DW SH NR ,AZ
-109.167,31.891,Stewart,NF,mid apr-mid nov,6,5062,NH ND 22ft VT DW NS NR L$ ,AZ
-109.849,32.592,Stockton Pass,NF,early apr-late sep,7,5689,NH ND VT NW NS RS PA L$ ,AZ
-109.318,33.550,Strayhorse,NF,mid apr-mid nov,7,7776,NH ND 16ft VT DW NS NR N$ ,AZ
