place_id,name,states,acres,owner_name,designation,ecoregion,ecoregion_rank,national_rank,rank_top500,in_top500,rank_top1000,in_top1000
900365,Mount Greylock State Reservation,MA,8336,DCR - Division of State Parks and Recreation,State Park,Lower New England / Northern Piedmont,4,3929,120,TRUE,120,TRUE
5304,Sandhill Wildlife Area,WI,9483,Wisconsin Department of Natural Resources,State Conservation Area,Prairie-Forest Border,5,3931,,FALSE,570,TRUE
900159,DIXON MEMORIAL WMA - Dixon Memorial Wildlife Management Area,GA,34065,Georgia Forestry Commission,State Conservation Area,South Atlantic Coastal Plain,13,3960,,FALSE,789,TRUE
142,Arrowwood National Wildlife Refuge,ND,13262,U.S. Fish & Wildlife Service,National Wildlife Refuge,Dakota Mixed-Grass Prairie,7,3961,,FALSE,381,TRUE
81,Aransas National Wildlife Refuge,TX,88877,U.S. Fish & Wildlife Service,National Wildlife Refuge,Gulf Coast Prairies And Marshes,1,3970,62,TRUE,62,TRUE
1113,Delta National Wildlife Refuge,LA,50259,U.S. Fish & Wildlife Service,National Wildlife Refuge,Gulf Coast Prairies And Marshes,2,3974,121,TRUE,121,TRUE
1988,Lake Alice National Wildlife Refuge,ND,8482,U.S. Fish & Wildlife Service,National Wildlife Refuge,Dakota Mixed-Grass Prairie,8,3987,,FALSE,504,TRUE
900262,Hugo Wildlife Management Area,OK,12906,Department of Wildlife Conservation,State Conservation Area,Ouachita Mountains,8,3990,122,TRUE,122,TRUE
853,Chickasaw National Wildlife Refuge,TN,16636,U.S. Fish & Wildlife Service,National Wildlife Refuge,Mississippi River Alluvial Plain,4,3993,,FALSE,382,TRUE
5938,Sam Rayburn Recreation Area,TX,115483,Unknown,Recreation Area,West Gulf Coastal Plain,6,4000,,FALSE,383,TRUE
4984,Holey Land Wildlife Management Area,FL,34929,Trustees of the Internal Improvement Trust Fund,State Conservation Area,Tropical Florida,11,4006,,FALSE,746,TRUE
